X_mm,Y_mm,WF_mean_µm
-5.4,3.3,
-5.25,3.3,
-5.1,3.3,-407.1997142857143
-4.95,3.3,-397.5326153846154
-4.8,3.3,-384.52207692307695
-4.65,3.3,-371.81553846153844
-4.5,3.3,-359.41276923076924
-4.35,3.3,-347.31730769230774
-4.2,3.3,-335.53069230769233
-4.05,3.3,-324.0526923076923
-3.9,3.3,-312.8793076923077
-3.75,3.3,-301.9985384615385
-3.6,3.3,-291.3954615384616
-3.45,3.3,-281.0494615384615
-3.3,3.3,-270.93369230769224
-3.15,3.3,-261.02384615384614
-3.0,3.3,-251.29738461538457
-2.85,3.3,-241.76884615384614
-2.7,3.3,-232.4183846153846
-2.55,3.3,-223.22653846153847
-2.4,3.3,-214.16992307692306
-2.25,3.3,-205.2323076923077
-2.1,3.3,-196.39715384615386
-1.95,3.3,-187.65984615384616
-1.8,3.3,-179.01238461538463
-1.65,3.3,-170.45407692307694
-1.5,3.3,-161.99253846153846
-1.35,3.3,-153.63546153846153
-1.2,3.3,-145.38746153846157
-1.05,3.3,-137.2662307692308
-0.9,3.3,-129.2826923076923
-0.75,3.3,-121.46030769230771
-0.6,3.3,-113.81838461538463
-0.45,3.3,-106.37953846153846
-0.3,3.3,-99.17484615384616
-0.15,3.3,-92.1943076923077
0.0,3.3,-85.43046153846156
0.15,3.3,-78.89953846153846
0.3,3.3,-72.53915384615385
0.45,3.3,-66.33838461538461
0.6,3.3,-60.282846153846144
0.75,3.3,-54.33792307692307
0.9,3.3,-48.473615384615385
1.05,3.3,-42.66407692307693
1.2,3.3,-36.89061538461538
1.35,3.3,-31.150769230769235
1.5,3.3,-25.443076923076926
1.65,3.3,-19.780923076923077
1.8,3.3,-14.179538461538463
1.95,3.3,-8.659923076923077
2.1,3.3,-3.2406153846153845
2.25,3.3,2.0636153846153844
2.4,3.3,7.239692307692308
2.55,3.3,12.286615384615382
2.7,3.3,17.205846153846153
2.85,3.3,22.00615384615385
3.0,3.3,26.695846153846155
3.15,3.3,31.300615384615387
3.3,3.3,35.87615384615385
3.45,3.3,40.43692307692307
3.6,3.3,45.00092307692307
3.75,3.3,49.577307692307684
3.9,3.3,54.17923076923076
4.05,3.3,58.8153076923077
4.2,3.3,63.50084615384616
4.35,3.3,68.24892307692308
4.5,3.3,73.06523076923077
4.65,3.3,77.95676923076923
4.8,3.3,82.92730769230768
4.95,3.3,87.97369230769232
5.1,3.3,93.09715384615386
5.25,3.3,98.29346153846154
5.4,3.3,
,3.3,
-5.4,3.15,
-5.25,3.15,
-5.1,3.15,-402.70031250000005
-4.95,3.15,-390.81229999999994
-4.8,3.15,-377.7625499999999
-4.65,3.15,-365.00970000000007
-4.5,3.15,-352.55734999999993
-4.35,3.15,-340.40745000000004
-4.2,3.15,-328.56669999999997
-4.05,3.15,-317.04010000000005
-3.9,3.15,-305.82405
-3.75,3.15,-294.91495
-3.6,3.15,-284.30139999999994
-3.45,3.15,-273.97335000000004
-3.3,3.15,-263.914
-3.15,3.15,-254.1017
-3.0,3.15,-244.51405000000005
-2.85,3.15,-235.13539999999998
-2.7,3.15,-225.94905000000003
-2.55,3.15,-216.94435000000004
-2.4,3.15,-208.08965000000003
-2.25,3.15,-199.37185
-2.1,3.15,-190.7629
-1.95,3.15,-182.26115
-1.8,3.15,-173.8491
-1.65,3.15,-165.52145000000002
-1.5,3.15,-157.28445
-1.35,3.15,-149.13699999999994
-1.2,3.15,-141.0813
-1.05,3.15,-133.13445000000004
-0.9,3.15,-125.30064999999999
-0.75,3.15,-117.60499999999999
-0.6,3.15,-110.06200000000001
-0.45,3.15,-102.6895
-0.3,3.15,-95.52645
-0.15,3.15,-88.58415
0.0,3.15,-81.8697
0.15,3.15,-75.53979999999999
0.3,3.15,-69.3868
0.45,3.15,-63.37539999999999
0.6,3.15,-57.47234999999999
0.75,3.15,-51.65244999999999
0.9,3.15,-45.8884
1.05,3.15,-40.1619
1.2,3.15,-34.4583
1.35,3.15,-28.780700000000003
1.5,3.15,-23.1347
1.65,3.15,-17.541649999999997
1.8,3.15,-12.027650000000001
1.95,3.15,-6.612400000000001
2.1,3.15,-1.3194
2.25,3.15,3.83855
2.4,3.15,8.857649999999998
2.55,3.15,13.742850000000004
2.7,3.15,18.49565
2.85,3.15,23.1335
3.0,3.15,27.68135
3.15,3.15,32.1734
3.3,3.15,36.6369
3.45,3.15,41.08584999999999
3.6,3.15,45.5416
3.75,3.15,50.01695000000001
3.9,3.15,54.5303
4.05,3.15,59.08995000000001
4.2,3.15,63.711500000000015
4.35,3.15,68.4078
4.5,3.15,73.17979999999999
4.65,3.15,78.02905000000001
4.8,3.15,82.95705000000001
4.95,3.15,87.95779999999999
5.1,3.15,93.03540000000001
5.25,3.15,98.17625
5.4,3.15,
,3.15,
-5.4,3.0,
-5.25,3.0,
-5.1,3.0,-394.1285
-4.95,3.0,-380.9778
-4.8,3.0,-367.94550000000004
-4.65,3.0,-355.20419999999996
-4.5,3.0,-342.75815
-4.35,3.0,-330.6133500000001
-4.2,3.0,-318.77804999999995
-4.05,3.0,-307.25505
-3.9,3.0,-296.04725
-3.75,3.0,-285.1554500000001
-3.6,3.0,-274.57225000000005
-3.45,3.0,-264.2919
-3.3,3.0,-254.30759999999995
-3.15,3.0,-244.60635000000002
-3.0,3.0,-235.17119999999994
-2.85,3.0,-225.98075
-2.7,3.0,-217.01595000000003
-2.55,3.0,-208.25274999999996
-2.4,3.0,-199.66219999999996
-2.25,3.0,-191.2245
-2.1,3.0,-182.90890000000002
-1.95,3.0,-174.70999999999998
-1.8,3.0,-166.60615
-1.65,3.0,-158.58964999999998
-1.5,3.0,-150.66074999999998
-1.35,3.0,-142.81395
-1.2,3.0,-135.051
-1.05,3.0,-127.38220000000001
-0.9,3.0,-119.81175
-0.75,3.0,-112.35705
-0.6,3.0,-105.03344999999999
-0.45,3.0,-97.85855000000001
-0.3,3.0,-90.87265
-0.15,3.0,-84.09615000000001
0.0,3.0,-77.53605000000002
0.15,3.0,-71.3436
0.3,3.0,-65.31145
0.45,3.0,-59.38665000000001
0.6,3.0,-53.536750000000005
0.75,3.0,-47.73955000000001
0.9,3.0,-41.973
1.05,3.0,-36.22730000000001
1.2,3.0,-30.492100000000004
1.35,3.0,-24.776999999999997
1.5,3.0,-19.102149999999998
1.65,3.0,-13.499150000000004
1.8,3.0,-7.999
1.95,3.0,-2.6234000000000006
2.1,3.0,2.6096999999999997
2.25,3.0,7.697399999999999
2.4,3.0,12.64375
2.55,3.0,17.45
2.7,3.0,22.13195
2.85,3.0,26.7144
