X_mm,Y_mm,WF_mean_µm
-5.4,3.3,
-5.25,3.3,
-5.1,3.3,
-4.95,3.3,
-4.8,3.3,
-4.65,3.3,
-4.5,3.3,
-4.35,3.3,
-4.2,3.3,
-4.05,3.3,
-3.9,3.3,
-3.75,3.3,
-3.6,3.3,
-3.45,3.3,
-3.3,3.3,
-3.15,3.3,
-3.0,3.3,
-2.85,3.3,
-2.7,3.3,
-2.55,3.3,
-2.4,3.3,
-2.25,3.3,
-2.1,3.3,
-1.95,3.3,
-1.8,3.3,
-1.65,3.3,
-1.5,3.3,
-1.35,3.3,
-1.2,3.3,
-1.05,3.3,
-0.9,3.3,
-0.75,3.3,
-0.6,3.3,
-0.45,3.3,
-0.3,3.3,
-0.15,3.3,
0.0,3.3,
0.15,3.3,
0.3,3.3,
0.45,3.3,
0.6,3.3,
0.75,3.3,
0.9,3.3,
1.05,3.3,
1.2,3.3,
1.35,3.3,
1.5,3.3,
1.65,3.3,
1.8,3.3,
1.95,3.3,
2.1,3.3,
2.25,3.3,
2.4,3.3,
2.55,3.3,
2.7,3.3,
2.85,3.3,
3.0,3.3,
3.15,3.3,
3.3,3.3,
3.45,3.3,
3.6,3.3,
3.75,3.3,
3.9,3.3,
4.05,3.3,
4.2,3.3,
4.35,3.3,
4.5,3.3,
4.65,3.3,
4.8,3.3,
4.95,3.3,
5.1,3.3,
5.25,3.3,
5.4,3.3,
,3.3,
-5.4,3.15,
-5.25,3.15,
-5.1,3.15,
-4.95,3.15,-412.0701000000001
-4.8,3.15,-398.63480000000004
-4.65,3.15,-385.47529999999995
-4.5,3.15,-372.59325
-4.35,3.15,-359.9888
-4.2,3.15,-347.66814999999997
-4.05,3.15,-335.63520000000005
-3.9,3.15,-323.88620000000003
-3.75,3.15,-312.4192
-3.6,3.15,-301.22499999999997
-3.45,3.15,-290.29890000000006
-3.3,3.15,-279.6329
-3.15,3.15,-269.21315000000004
-3.0,3.15,-259.02840000000003
-2.85,3.15,-249.05160000000006
-2.7,3.15,-239.26259999999996
-2.55,3.15,-229.6476
-2.4,3.15,-220.19265000000001
-2.25,3.15,-210.89175
-2.1,3.15,-201.72769999999997
-1.95,3.15,-192.70270000000002
-1.8,3.15,-183.799
-1.65,3.15,-175.00975
-1.5,3.15,-166.3384
-1.35,3.15,-157.78045000000003
-1.2,3.15,-149.33434999999997
-1.05,3.15,-141.0124
-0.9,3.15,-132.8126
-0.75,3.15,-124.7524
-0.6,3.15,-116.83854999999998
-0.45,3.15,-109.08255000000001
-0.3,3.15,-101.51935
-0.15,3.15,-94.16074999999998
0.0,3.15,-87.01725
0.15,3.15,-80.25445
0.3,3.15,-73.66794999999999
0.45,3.15,-67.22865
0.6,3.15,-60.907999999999994
0.75,3.15,-54.687349999999995
0.9,3.15,-48.54370000000001
1.05,3.15,-42.459700000000005
1.2,3.15,-36.42184999999999
1.35,3.15,-30.43535
1.5,3.15,-24.501950000000008
1.65,3.15,-18.633850000000002
1.8,3.15,-12.844800000000003
1.95,3.15,-7.144650000000001
2.1,3.15,-1.5518499999999995
2.25,3.15,3.9219500000000003
2.4,3.15,9.273900000000001
2.55,3.15,14.5125
2.7,3.15,19.6378
2.85,3.15,24.6722
3.0,3.15,29.626149999999996
3.15,3.15,34.51774999999999
3.3,3.15,39.354400000000005
3.45,3.15,44.1541
3.6,3.15,48.94035
3.75,3.15,53.733000000000004
3.9,3.15,58.555600000000005
4.05,3.15,63.420100000000005
4.2,3.15,68.34625
4.35,3.15,73.35005000000001
4.5,3.15,78.43605
4.65,3.15,83.60690000000001
4.8,3.15,88.86585
4.95,3.15,94.20665
5.1,3.15,99.63265000000001
5.25,3.15,105.127
5.4,3.15,
,3.15,
-5.4,3.0,
-5.25,3.0,
-5.1,3.0,-414.21000000000004
-4.95,3.0,-401.92479999999995
-4.8,3.0,-388.5287
-4.65,3.0,-375.4039000000001
-4.5,3.0,-362.55244999999996
-4.35,3.0,-349.97925000000004
-4.2,3.0,-337.69005000000004
-4.05,3.0,-325.68705000000006
-3.9,3.0,-313.9718
-3.75,3.0,-302.5443
-3.6,3.0,-291.39829999999995
-3.45,3.0,-280.52835000000005
-3.3,3.0,-269.93035
-3.15,3.0,-259.5952
-3.0,3.0,-249.5109
-2.85,3.0,-239.6627
-2.7,3.0,-230.03850000000003
-2.55,3.0,-220.62275
-2.4,3.0,-211.39490000000006
-2.25,3.0,-202.34235
-2.1,3.0,-193.43955
-1.95,3.0,-184.68585000000002
-1.8,3.0,-176.0605
-1.65,3.0,-167.55514999999997
-1.5,3.0,-159.16789999999997
-1.35,3.0,-150.89035
-1.2,3.0,-142.72175
-1.05,3.0,-134.6689
-0.9,3.0,-126.7307
-0.75,3.0,-118.91810000000001
-0.6,3.0,-111.23644999999999
-0.45,3.0,-103.69430000000003
-0.3,3.0,-96.32469999999999
-0.15,3.0,-89.14420000000001
0.0,3.0,-82.1606
0.15,3.0,-75.53690000000002
0.3,3.0,-69.07050000000001
0.45,3.0,-62.72360000000001
0.6,3.0,-56.466449999999995
0.75,3.0,-50.285249999999984
0.9,3.0,-44.160250000000005
1.05,3.0,-38.07899999999999
1.2,3.0,-32.03295
1.35,3.0,-26.034450000000003
1.5,3.0,-20.093649999999997
1.65,3.0,-14.228050000000001
1.8,3.0,-8.452549999999999
1.95,3.0,-2.7819499999999993
2.1,3.0,2.7655499999999997
2.25,3.0,8.185050000000002
2.4,3.0,13.476799999999997
2.55,3.0,18.63785
2.7,3.0,23.67825
2.85,3.0,28.61775
3.0,3.0,33.465999999999994
3.15,3.0,38.261250000000004
3.3,3.0,43.01554999999999
3.45,3.0,47.75280000000001
3.6,3.0,52.501549999999995
3.75,3.0,57.27700000000001
3.9,3.0,62.10595000000001
4.05,3.0,66.9971
4.2,3.0,71.96785
4.35,3.0,77.0289
4.5,3.0,82.17920000000001
4.65,3.0,87.41635
4.8,3.0,92.73905
4.95,3.0,98.1412
5.1,3.0,103.62060000000001
5.25,3.0,109.1635
5.4,3.0,
,3.0,
-5.4,2.85,
-5.25,2.85,
-5.1,2.85,-403.8141176470588
-4.95,2.85,-390.8775
-4.8,2.85,-377.6066
-4.65,2.85,-364.60145
-4.5,2.85,-351.8646
-4.35,2.85,-339.40439999999995
-4.2,2.85,-327.2252500000001
-4.05,2.85,-315.32935
-3.9,2.85,-303.72405000000003
-3.75,2.85,-292.4076
-3.6,2.85,-281.37675
-3.45,2.85,-270.63120000000004
-3.3,2.85,-260.16655000000003
-3.15,2.85,-249.97704999999996
-3.0,2.85,-240.05154999999996
-2.85,2.85,-230.37980000000002
