Noll_index,"n, m",Name,Coefficient_µm
1,"(0, 0)",Piston,26.810844697036572
2,"(1, 1)",Tilt X,54.73708778635348
3,"(1, -1)",Tilt Y,-41.246012072398194
4,"(2, 0)",Focus,0.9610939764017471
5,"(2, -2)",Astigmatism 45,-2.92638879114591
6,"(2, 2)",Astigmatism 0,-1.9213994847846971
7,"(3, -1)",Coma Y,0.7388802060525108
8,"(3, 1)",Coma X,1.7852464619083506
9,"(3, -3)",Trefoil Y,-2.1341801065771193
10,"(3, 3)",Trefoil X,-1.1276440149438949
11,"(4, 0)",Spherical,-0.13308009137444277
12,"(4, 2)",2nd Astig 0,0.8861283318640502
13,"(4, -2)",2nd Astig 45,0.8221544369697444
14,"(4, 4)",Tetrafoil 0,0.13048921207284972
15,"(4, -4)",Tetrafoil 22.5,-1.6474067587154935
16,"(5, 1)",2nd coma X,-0.8664991407372099
17,"(5, -1)",2nd coma Y,-0.22310495549012596
18,"(5, 3)",3rd Astig X,0.4455544575724377
19,"(5, -3)",3rd Astig Y,0.7477101591726125
20,"(5, 5)",Pentafoil X,0.13551636244613974
21,"(5, -5)",Pentafoil Y,-0.7213141669585743
22,"(6, 0)",5th order spherical,0.3061962668503959
23,"(6, -2)",Z23,-0.2336996918927916
24,"(6, 2)",Z24,-0.36226800597220077
25,"(6, -4)",Z25,0.6108860183550563
26,"(6, 4)",Z26,-0.10321268093568037
27,"(6, -6)",Z27,-0.3834732555179272
