X_mm,Y_mm,WF_mean_µm
-5.4,3.3,
-5.25,3.3,
-5.1,3.3,-327.349
-4.95,3.3,-314.648
-4.8,3.3,-302.057
-4.65,3.3,-289.79
-4.5,3.3,-277.846
-4.35,3.3,-266.229
-4.2,3.3,-254.94
-4.05,3.3,-243.979
-3.9,3.3,-233.342
-3.75,3.3,-223.02
-3.6,3.3,-213.0
-3.45,3.3,-203.269
-3.3,3.3,-193.81
-3.15,3.3,-184.6
-3.0,3.3,-175.616
-2.85,3.3,-166.827
-2.7,3.3,-158.207
-2.55,3.3,-149.725
-2.4,3.3,-141.348
-2.25,3.3,-133.043
-2.1,3.3,-124.765
-1.95,3.3,-116.543
-1.8,3.3,-108.364
-1.65,3.3,-100.221
-1.5,3.3,-92.119
-1.35,3.3,-84.067
-1.2,3.3,-76.072
-1.05,3.3,-68.159
-0.9,3.3,-60.344
-0.75,3.3,-52.655
-0.6,3.3,-45.115
-0.45,3.3,-37.75
-0.3,3.3,-30.593
-0.15,3.3,-23.657
0.0,3.3,-16.955
0.15,3.3,-10.626
0.3,3.3,-4.46
0.45,3.3,1.584
0.6,3.3,7.535
0.75,3.3,13.4
0.9,3.3,19.195
1.05,3.3,24.937
1.2,3.3,30.634
1.35,3.3,36.278
1.5,3.3,41.863
1.65,3.3,47.379
1.8,3.3,52.814
1.95,3.3,58.155
2.1,3.3,63.395
2.25,3.3,68.534
2.4,3.3,73.615
2.55,3.3,78.632
2.7,3.3,83.59
2.85,3.3,88.507
3.0,3.3,93.395
3.15,3.3,98.285
3.3,3.3,103.188
3.45,3.3,108.118
3.6,3.3,113.089
3.75,3.3,118.109
3.9,3.3,123.186
4.05,3.3,128.318
4.2,3.3,133.508
4.35,3.3,138.757
4.5,3.3,144.057
4.65,3.3,149.405
4.8,3.3,154.794
4.95,3.3,160.215
5.1,3.3,165.661
5.25,3.3,171.125
5.4,3.3,
,3.3,
-5.4,3.15,
-5.25,3.15,
-5.1,3.15,-393.308
-4.95,3.15,-409.4757894736842
-4.8,3.15,-396.7307894736842
-4.65,3.15,-384.28200000000004
-4.5,3.15,-372.1317368421052
-4.35,3.15,-360.2826842105264
-4.2,3.15,-348.7341052631578
-4.05,3.15,-337.48710526315796
-3.9,3.15,-326.5434210526316
-3.75,3.15,-315.89689473684206
-3.6,3.15,-305.53442105263156
-3.45,3.15,-295.4472631578947
-3.3,3.15,-285.62305263157896
-3.15,3.15,-276.0441578947369
-3.0,3.15,-266.6964210526316
-2.85,3.15,-257.55189473684214
-2.7,3.15,-248.59326315789474
-2.55,3.15,-239.80352631578947
-2.4,3.15,-231.15094736842107
-2.25,3.15,-222.62026315789473
-2.1,3.15,-214.18210526315787
-1.95,3.15,-205.84121052631576
-1.8,3.15,-197.58247368421056
-1.65,3.15,-189.40342105263161
-1.5,3.15,-181.30557894736845
-1.35,3.15,-173.2798947368421
-1.2,3.15,-165.3159473684211
-1.05,3.15,-157.41200000000003
-0.9,3.15,-149.54631578947368
-0.75,3.15,-141.71121052631582
-0.6,3.15,-133.8897368421052
-0.45,3.15,-126.07931578947367
-0.3,3.15,-118.31884210526316
-0.15,3.15,-110.64099999999998
0.0,3.15,-103.10110526315789
0.15,3.15,-95.89726315789474
0.3,3.15,-88.83184210526316
0.45,3.15,-81.87936842105263
0.6,3.15,-75.03347368421052
0.75,3.15,-68.2997894736842
0.9,3.15,-61.674263157894735
1.05,3.15,-55.155105263157886
1.2,3.15,-48.74657894736843
1.35,3.15,-42.458894736842105
1.5,3.15,-36.290684210526315
1.65,3.15,-30.24363157894736
1.8,3.15,-24.32036842105263
1.95,3.15,-18.519105263157893
2.1,3.15,-12.840947368421055
2.25,3.15,-7.281526315789473
2.4,3.15,-1.827842105263157
2.55,3.15,3.530684210526316
2.7,3.15,8.79994736842105
2.85,3.15,14.000631578947369
3.0,3.15,19.153894736842105
3.15,3.15,24.29326315789474
3.3,3.15,29.432052631578944
3.45,3.15,34.587736842105265
3.6,3.15,39.778
3.75,3.15,45.01184210526316
3.9,3.15,50.299052631578945
4.05,3.15,55.63652631578947
4.2,3.15,61.0298947368421
4.35,3.15,66.49126315789474
4.5,3.15,72.01421052631581
4.65,3.15,77.59052631578946
4.8,3.15,83.22342105263158
4.95,3.15,88.90836842105261
5.1,3.15,94.6494210526316
5.25,3.15,100.43094736842106
5.4,3.15,
,3.15,
-5.4,3.0,
-5.25,3.0,
-5.1,3.0,-394.20828571428575
-4.95,3.0,-399.00019999999995
-4.8,3.0,-386.25155000000007
-4.65,3.0,-373.80094999999994
-4.5,3.0,-361.65135000000004
-4.35,3.0,-349.8087999999999
-4.2,3.0,-338.27395
-4.05,3.0,-327.04544999999996
-3.9,3.0,-316.12739999999997
-3.75,3.0,-305.5164
-3.6,3.0,-295.20179999999993
-3.45,3.0,-285.17420000000004
-3.3,3.0,-275.4247
-3.15,3.0,-265.94
-3.0,3.0,-256.7024
-2.85,3.0,-247.69185000000002
-2.7,3.0,-238.88990000000004
-2.55,3.0,-230.27375
-2.4,3.0,-221.8191
-2.25,3.0,-213.50829999999996
-2.1,3.0,-205.31315
-1.95,3.0,-197.23075
-1.8,3.0,-189.24155000000002
-1.65,3.0,-181.33895
-1.5,3.0,-173.52235
-1.35,3.0,-165.78315000000003
-1.2,3.0,-158.11610000000002
-1.05,3.0,-150.52030000000002
-0.9,3.0,-142.98065000000003
-0.75,3.0,-135.4864
-0.6,3.0,-128.01489999999998
-0.45,3.0,-120.5442
-0.3,3.0,-113.08619999999999
-0.15,3.0,-105.66100000000002
0.0,3.0,-98.32125
0.15,3.0,-91.25580000000001
0.3,3.0,-84.3068
0.45,3.0,-77.44775000000001
0.6,3.0,-70.68504999999998
0.75,3.0,-64.03779999999998
0.9,3.0,-57.49985
1.05,3.0,-51.068299999999994
1.2,3.0,-44.75005
1.35,3.0,-38.553
1.5,3.0,-32.4765
1.65,3.0,-26.52075
1.8,3.0,-20.69055
1.95,3.0,-14.9875
2.1,3.0,-9.414499999999999
2.25,3.0,-3.9626000000000006
2.4,3.0,1.3815499999999996
2.55,3.0,6.6267499999999995
2.7,3.0,11.794599999999997
2.85,3.0,16.91665
3.0,3.0,22.009300000000003
3.15,3.0,27.113199999999996
3.3,3.0,32.237700000000004
3.45,3.0,37.39875
3.6,3.0,42.6129
3.75,3.0,47.87955000000001
3.9,3.0,53.2094
4.05,3.0,58.594849999999994
4.2,3.0,64.03855
4.35,3.0,69.5461
4.5,3.0,75.10675
4.65,3.0,80.71074999999999
4.8,3.0,86.3596
4.95,3.0,92.05064999999999
5.1,3.0,97.78555
