Noll_index,"n, m",Name,Coefficient_µm
1,"(0, 0)",Piston,0.2399825962104846
2,"(1, 1)",Tilt X,53.68866130962963
3,"(1, -1)",Tilt Y,-43.444852038711474
4,"(2, 0)",Focus,-0.873576137648243
5,"(2, -2)",Astigmatism 45,-0.19654842661776675
6,"(2, 2)",Astigmatism 0,-1.0042509961008792
7,"(3, -1)",Coma Y,-0.3626191912075861
8,"(3, 1)",Coma X,1.9576304293020577
9,"(3, -3)",Trefoil Y,-0.12446039892413084
10,"(3, 3)",Trefoil X,-1.4869860949665925
11,"(4, 0)",Spherical,0.4435808793424125
12,"(4, 2)",2nd Astig 0,0.34765295968535775
13,"(4, -2)",2nd Astig 45,0.0758499991858213
14,"(4, 4)",Tetrafoil 0,-0.3135864427274624
15,"(4, -4)",Tetrafoil 22.5,-0.13337199622044676
16,"(5, 1)",2nd coma X,-0.7649275094061343
17,"(5, -1)",2nd coma Y,-0.017493177217445588
18,"(5, 3)",3rd Astig X,0.5222273659630421
19,"(5, -3)",3rd Astig Y,0.34692918361158487
20,"(5, 5)",Pentafoil X,0.8140958586195524
21,"(5, -5)",Pentafoil Y,-0.20193070874996266
22,"(6, 0)",5th order spherical,-0.15139670230188784
23,"(6, -2)",Z23,0.07466590555405528
24,"(6, 2)",Z24,0.020163854135561765
25,"(6, -4)",Z25,0.018428744420757148
26,"(6, 4)",Z26,0.002414233947607869
27,"(6, -6)",Z27,0.08394127801241424
